class_id,image_tag,state,updated_at,total_task_duration,tat,task_id,action_history,task_image_tag,finalized,approved,team,started_at,ended_at,task_duration_mins,rejection,car_name,inactivity_duration,Month,Deviation,,Standard Deviations
1024,Car ahead,PROCESSED,2021-01-04 19:25:20.685405+00,5.6,33.2,1909,485,NULL,FALSE,FALSE,bot,2021-01-03 10:10:21.514954+00,2021-01-03 10:10:21.514956+00,0,NULL,Tesla Model X,33.1,01-2021,0.00,,
1024,Car ahead,PROCESSED,2021-01-04 19:25:20.685405+00,5.6,33.2,1981,485,Car ahead,FALSE,TRUE,sanfrancisco,2021-01-04 14:54:31.249017+00,2021-01-04 14:59:34.839488+00,5.1,NULL,Tesla Model X,33.1,01-2021,3.28,,
1024,Car ahead,PROCESSED,2021-01-04 19:25:20.685405+00,5.6,33.2,2031,485,Car ahead,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:21:36.725169+00,2021-01-04 19:22:08.5326+00,0.5,NULL,Tesla Model X,33.1,01-2021,-0.34,,
1025,Crosswalk,PROCESSED,2021-01-04 19:35:20.681268+00,1.8,32.5,1915,491,NULL,FALSE,FALSE,bot,2021-01-03 11:05:20.762356+00,2021-01-03 11:05:20.762358+00,0,NULL,Tesla Model X,32.5,01-2021,0.00,,
1025,Crosswalk,PROCESSED,2021-01-04 19:35:20.681268+00,1.8,32.5,1986,491,Crosswalk,FALSE,TRUE,sanfrancisco,2021-01-04 15:09:03.28909+00,2021-01-04 15:10:21.426905+00,1.3,NULL,Tesla Model X,32.5,01-2021,-0.52,,
1025,Crosswalk,PROCESSED,2021-01-04 19:35:20.681268+00,1.8,32.5,2036,491,Crosswalk,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:34:39.881413+00,2021-01-04 19:35:07.777021+00,0.5,NULL,Tesla Model X,32.5,01-2021,-0.34,,
1026,Traffic light,PROCESSED,2021-01-04 19:35:20.71506+00,2.3,32.5,1940,516,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.157346+00,2021-01-03 11:05:21.157348+00,0,NULL,Tesla Model X,32.5,01-2021,0.00,,
1026,Traffic light,PROCESSED,2021-01-04 19:35:20.71506+00,2.3,32.5,1985,516,Traffic light,FALSE,TRUE,sanfrancisco,2021-01-04 15:07:27.32449+00,2021-01-04 15:09:03.129651+00,1.6,NULL,Tesla Model X,32.5,01-2021,-0.22,,
1026,Traffic light,PROCESSED,2021-01-04 19:35:20.71506+00,2.3,32.5,2035,516,Traffic light,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:33:55.042136+00,2021-01-04 19:34:39.754518+00,0.7,NULL,Tesla Model X,32.5,01-2021,-0.14,,
1027,Car ahead,PROCESSED,2021-01-04 19:35:20.746747+00,3.8,32.5,1929,505,NULL,FALSE,FALSE,bot,2021-01-03 11:05:20.981972+00,2021-01-03 11:05:20.981974+00,0,NULL,Tesla Model X,32.4,01-2021,0.00,,
1027,Car ahead,PROCESSED,2021-01-04 19:35:20.746747+00,3.8,32.5,1984,505,Car ahead,FALSE,TRUE,sanfrancisco,2021-01-04 15:04:13.033602+00,2021-01-04 15:07:27.155322+00,3.2,NULL,Tesla Model X,32.4,01-2021,1.38,,
1027,Car ahead,PROCESSED,2021-01-04 19:35:20.746747+00,3.8,32.5,2034,505,Car ahead,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:33:08.353824+00,2021-01-04 19:33:43.733003+00,0.6,NULL,Tesla Model X,32.4,01-2021,-0.24,,
1028,Car ahead,PROCESSED,2021-01-04 19:35:20.774828+00,3.5,32.5,1928,504,NULL,FALSE,FALSE,bot,2021-01-03 11:05:20.969552+00,2021-01-03 11:05:20.969554+00,0,NULL,Tesla Model X,32.4,01-2021,0.00,,
1028,Car ahead,PROCESSED,2021-01-04 19:35:20.774828+00,3.5,32.5,1983,504,Car ahead,FALSE,TRUE,sanfrancisco,2021-01-04 15:01:57.663409+00,2021-01-04 15:04:12.864229+00,2.3,NULL,Tesla Model X,32.4,01-2021,0.48,,
1028,Car ahead,PROCESSED,2021-01-04 19:35:20.774828+00,3.5,32.5,2033,504,Car ahead,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:31:56.657274+00,2021-01-04 19:33:08.215876+00,1.2,NULL,Tesla Model X,32.4,01-2021,0.36,,
1029,Clear,PROCESSED,2021-01-04 19:35:20.801972+00,2.7,32.5,1927,503,NULL,FALSE,FALSE,bot,2021-01-03 11:05:20.958061+00,2021-01-03 11:05:20.958062+00,0,NULL,Tesla Model X,32.5,01-2021,0.00,,
1029,Clear,PROCESSED,2021-01-04 19:35:20.801972+00,2.7,32.5,1982,503,Clear,FALSE,TRUE,sanfrancisco,2021-01-04 14:59:35.049777+00,2021-01-04 15:01:57.504094+00,2.4,NULL,Tesla Model X,32.5,01-2021,0.58,,
1029,Clear,PROCESSED,2021-01-04 19:35:20.801972+00,2.7,32.5,2032,503,Clear,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:31:35.56064+00,2021-01-04 19:31:56.538463+00,0.3,NULL,Tesla Model X,32.5,01-2021,-0.54,,
1030,Car ahead,PROCESSED,2021-01-04 19:40:20.696275+00,2.7,32.6,1918,494,NULL,FALSE,FALSE,bot,2021-01-03 11:05:20.818275+00,2021-01-03 11:05:20.818276+00,0,NULL,Tesla Model X,32.6,01-2021,0.00,,
1030,Car ahead,PROCESSED,2021-01-04 19:40:20.696275+00,2.7,32.6,1996,494,Car ahead,FALSE,TRUE,sanfrancisco,2021-01-04 15:30:43.17961+00,2021-01-04 15:32:54.384137+00,2.2,NULL,Tesla Model X,32.6,01-2021,0.38,,
